Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError
iris,4,1,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,13,2,0,"86,66666667","13,33333333",0,"0,8","0,09198966408","0,2948591028","20,69767442","62,54906133","23,77443751","1079,562054","-1055,787617","1,584962501","71,97080361","-70,3858411","19,33274551","1,288849701","1219,760436",1,5,0,0,1,10,0,0,1,1,1,1,"0,8666666667","0,06666666667","0,9333333333","0,1333333333","0,9047619048","0,8666666667","0,8611111111","0,8966666667","0,001",0,0,0,4397,11019,2739,Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?
iris,4,2,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,4,3,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,13,2,0,"86,66666667","13,33333333",0,"0,8","0,1066666667","0,3032516962",24,"64,32939923","23,77443751","1080,206502","-1056,432064","1,584962501","72,01376677","-70,42880427","18,75236057","1,250157372","1183,142224",1,5,0,0,1,10,0,0,1,1,1,1,"0,8666666667","0,06666666667","0,9333333333","0,1333333333","0,8666666667","0,8666666667","0,8666666667","0,91","0,001","0,001",0,"0,01",4397,11019,2739,Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?
iris,4,4,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,13,2,0,"86,66666667","13,33333333",0,"0,8","0,1123993559","0,2982871748","25,28985507","63,2762652","23,77443751","1078,912751","-1055,138313","1,584962501","71,92751672","-70,34255422","18,5577334","1,237182227","1170,862616","0,8",4,0,0,1,10,"0,2",1,1,"0,8","0,8888888889","0,9","0,8666666667","0,06666666667","0,9333333333","0,1333333333","0,8777777778","0,8666666667","0,865993266","0,9066666667","0,001",0,0,0,4397,11019,2739,Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?
iris,4,5,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,002",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,4,6,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,009400762889","0,01486492981","2,11517165","3,153327801","23,77443751","0,3087983323","23,46563918","1,584962501","0,02058655548","1,564375945","23,46563918","1,564375945","1480,516994",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,4,7,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,4,8,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,4,9,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,14,1,0,"93,33333333","6,666666667",0,"0,9","0,04867724868","0,2110573986","10,95238095","44,77203533","23,77443751","1074,139062","-1050,364624","1,584962501","71,60927078","-70,02430828","21,46545084","1,431030056","1354,319161",1,5,0,0,1,10,0,0,1,1,1,1,"0,9333333333","0,03333333333","0,9666666667","0,06666666667","0,9444444444","0,9333333333","0,9326599327","0,95","0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
iris,4,10,"weka,classifiers,trees,J48","-C 0,25 -M 2'",-217733168393644444,"2,02E+07",135,15,15,0,0,100,0,0,1,"0,01058801286","0,01588652035","2,382302893","3,370039881","23,77443751","0,3478562083","23,4265813","1,584962501","0,02319041388","1,561772087","23,4265813","1,561772087","1478,052717",1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,"0,001",0,0,0,4798,11019,2739,Number of leaves: 5\nSize of the tree: 9\n',9,5,5,?
